n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
2097152,16,4294963738,15,1,222274921,230090925,226683993,232724701,226684005,225805003,221618641,239117804,239022129,224686016,219047628,232555522,223464222,207174033,218948082,212151278,239117804
2097152,16,4294966350,15,1,210567995,231859231,224718840,219643850,233835850,226456090,229994590,228275531,224448071,249196431,235295919,242227805,230391725,239140677,228764718,247398016,249196431
2097152,16,4294966491,15,1,238562550,235661291,229438713,227508178,236492116,242181064,228339869,231408683,243085915,238454259,234393626,228438610,226049622,230812062,216059778,245245538,245245538
2097152,16,4294966646,15,1,213420826,210372099,222818399,218866165,224792392,220988836,209435639,213608123,231359789,227859440,216323222,233210491,230812854,225491609,228882882,246179431,246179431
2097152,16,4294966656,15,1,214188806,206566861,217089900,221665431,213624118,209647997,221022023,211996897,210826016,217273088,204267019,213073456,219754542,225551677,231951223,226914225,231951223
2097152,16,4294967242,15,1,227087970,233575610,221810195,240559859,247673777,237300843,235684191,241535899,226961158,238394818,244813195,235449652,252463893,245483752,235282265,239362985,252463893
4194304,16,4294965188,15,1,221740353,224031359,216548728,253680054,246430550,247396447,251027607,255664085,252752164,248774059,239266637,231582528,238495551,254069319,262242651,246519735,262242651
4194304,16,4294965252,15,1,220718254,215854799,217019324,224838340,221167675,214885822,233147519,209964020,228584851,221471757,236589777,227583110,228367760,238835632,227622427,252320327,252320327
4194304,16,4294965884,15,1,227887808,233061377,220658651,225147265,225450871,238164836,230064414,234456762,214743007,226910096,218507552,234698222,218788495,236900604,230115590,226508292,238164836
4194304,16,4294966512,15,1,216250334,209468606,226886037,221218258,221651639,212885541,220278889,214309629,227454930,220804575,215846700,231961652,228863409,223622801,218015824,214751268,231961652
4194304,16,4294966711,15,1,238329085,248568672,235523437,243102572,224493468,228072164,232140804,234881999,250699501,239326876,247319218,235667623,231676866,237391351,248479900,244560715,250699501
4194304,16,4294966888,15,1,196779772,202739481,195501431,204554974,201322965,201553112,200398090,210423681,236122640,223343928,227377366,235437521,236023322,242392333,246975415,243185469,246975415
4194304,16,4294966946,15,1,253530892,263481939,259492152,257093969,251799371,252621099,262688263,266934181,234861868,252598200,245061700,275087248,262585513,270679735,260158733,265881496,275087248
4194304,16,4294966975,15,1,252839163,243172052,251437649,224016315,233261200,242570164,265615548,264163496,258321261,269842890,270554398,278516108,265320650,273273996,285663606,271694659,285663606
4194304,16,4294967030,15,1,240375496,232451007,221965567,228116914,217301528,240008545,255642674,245641051,253190710,241156218,250707831,248274639,236297905,255211927,274414388,260075401,274414388
4194304,16,4294967165,15,1,231166205,237522600,234242998,230488411,233459458,229758198,242270246,239498355,226521898,238085738,230215861,246648850,234310276,242662515,229650153,255533703,255533703
8388608,16,4294965968,15,1,243531941,233732787,239275335,242057207,244377034,235067764,239495566,237258734,239900515,233741262,234047225,217385252,227447570,232849335,240568379,228838963,244377034
8388608,16,4294966375,15,1,242701789,248027296,238323277,251788614,243284602,249012637,253346108,240911206,241676074,257296768,256094881,247211529,250606502,253438731,252119802,264991886,264991886
8388608,16,4294966535,15,1,223922940,210458709,230419949,225466420,221311606,247990425,257255176,258260626,247790796,253660938,243742128,252530570,251129309,257331894,244627286,267767378,267767378
8388608,16,4294966696,15,1,243792476,240065386,236828084,250432689,244083211,246883715,233271977,226153467,239948506,250439926,239545663,240363981,252181192,245843455,257588334,263268013,263268013
8388608,16,4294966783,15,1,273462704,270206867,265710955,260895494,276613777,264419757,272348634,268345386,263817394,256537334,250957137,272160802,264994835,272939928,278012931,261224303,278012931
8388608,16,4294966935,15,1,217308632,225419107,225973794,215902989,221592252,227916364,230602481,236903538,244546648,239544796,227429123,256181797,257309248,261807138,259422825,270342173,270342173
8388608,16,4294967012,15,1,229921674,227400487,234484113,230765109,238433444,243008844,244811602,236178195,241243399,245483650,241168348,254848365,268866110,277661413,280972199,278373078,280972199
8388608,16,4294967018,15,1,235605664,231828200,238796803,225542794,219004949,232196966,226799053,221979233,241322113,228529458,226007266,237063444,240048160,236544463,232608465,234763009,241322113
