n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
131072,8,4294955962,7,1,213890389,219120295,212526193,207115679,227787438,216553047,222628587,213427007,227787438
131072,8,4294964257,7,1,232588537,247855609,253161085,236596794,242137091,232628191,245922469,251103569,253161085
131072,8,4294964284,7,1,221427855,227125728,234736162,218916997,232210579,224805789,233028001,212665409,234736162
262144,8,4294916480,7,1,222424558,227436059,215906095,210257906,221299135,214774709,226136697,230342253,230342253
262144,8,4294918201,7,1,231816829,239085742,229234947,225708735,275525590,269310198,262301920,259697848,275525590
262144,8,4294929865,7,1,214456669,215016179,207658448,203204520,217317572,208415018,203829092,218457467,218457467
262144,8,4294930317,7,1,217148365,212440729,209115598,224353435,232032686,214820702,218281898,226892133,232032686
262144,8,4294957634,7,1,231594490,230269846,215884475,225215021,227307681,235526685,221677322,225746737,235526685
262144,8,4294958558,7,1,207995136,205202116,210017089,215281390,214170795,218027810,221680248,203139555,221680248
262144,8,4294960473,7,1,230297007,222299525,210677830,218203219,205417478,217337074,209361805,220941025,230297007
262144,8,4294965732,7,1,217689548,208407262,228394977,224873784,216022358,212095714,226723155,217334127,228394977
262144,8,4294966906,7,1,211102931,199429360,216448172,205181366,215165004,211926644,228837820,224141667,228837820
262144,8,4294967116,7,1,220986224,217466157,229251703,234947445,221583734,228423305,234676602,216306124,234947445
524288,8,4294908086,7,1,219556009,205353457,219312673,208328022,213822557,204634566,212248283,219177435,219556009
524288,8,4294927945,7,1,221348589,235340951,217897362,229632885,222691389,214780150,207658203,234107079,235340951
524288,8,4294953226,7,1,228870780,210885896,222243651,219116153,223843030,218373079,234017397,216126155,234017397
524288,8,4294957863,7,1,218446320,225695262,206817310,222069881,211582025,215833648,217169469,229613201,229613201
524288,8,4294961357,7,1,251933060,230347670,235299507,258566910,248697864,248653193,243605143,244447241,258566910
524288,8,4294962335,7,1,206060062,198958314,195349278,191107597,264671567,284315644,260045833,278178677,284315644
524288,8,4294964370,7,1,207769758,222278816,230419475,209814640,217970687,222014385,233814036,224978879,233814036
524288,8,4294964531,7,1,225874016,232941582,213725301,220005585,215903335,224250435,212160667,229015512,232941582
524288,8,4294965073,7,1,213813628,220391203,209690646,203319068,214777562,212440192,201516831,210681506,220391203
524288,8,4294965903,7,1,226162979,232406536,222345795,241310808,229454818,244232356,235885066,227117992,244232356
1048576,8,4294953058,7,1,233775313,239970632,227395343,226960597,235154952,224837012,249318807,241208468,249318807
1048576,8,4294953283,7,1,218963627,213588380,208410798,215194029,226089867,223383607,233865710,226907390,233865710
1048576,8,4294953286,7,1,234278723,226103152,222380894,239363521,226225196,211651642,217829808,223986333,239363521
1048576,8,4294962735,7,1,207931588,223451814,229659390,212964687,219994214,213822545,224359968,222663579,229659390
1048576,8,4294964768,7,1,245682266,227357728,239534600,235404735,235622900,250278004,246212971,240011164,250278004
1048576,8,4294965049,7,1,232927949,251950178,251977828,248185669,249518776,240948970,242578580,266313102,266313102
1048576,8,4294966363,7,1,201978995,211760113,216763014,201293409,209382204,198070452,218314576,207709920,218314576
1048576,8,4294967048,7,1,227454164,233953678,223261134,228197965,227015684,236371927,246498802,243682024,246498802
1048576,8,4294967163,7,1,223017495,218243223,211168558,207032070,214828835,211524674,204526776,200135369,223017495
1048576,8,4294967187,7,1,218453536,228515150,212007316,227833142,239744139,238126432,244114303,232936857,244114303
2097152,8,4294962160,7,1,282699657,287999532,280337076,273270019,260199111,270763564,268717540,258662197,287999532
2097152,8,4294962833,7,1,230974347,208293468,224814183,216337590,244536877,235874318,230208959,226620020,244536877
2097152,8,4294964658,7,1,244949507,233935732,229701093,241659205,240656957,234240322,246024190,255190722,255190722
2097152,8,4294965312,7,1,216100535,225277576,245201948,242676364,235520913,233938166,236356308,225087551,245201948
