n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
16384,32,4294730068,31,1,254646499,249028008,252062109,248054740,254751746,247800089,241614052,254719042,251740590,249321870,246026007,259780430,255719856,249591911,265866440,263340911,252570044,260958971,248342834,257942218,244922341,255859931,264402559,255616314,254632374,246923411,243097509,258498160,249577172,239312372,247176312,264961045,265866440
16384,32,4294766547,31,1,244617558,237525414,240900088,234249965,228804625,232300089,224309281,220539965,246430264,243400345,241258728,238270443,227820894,224421377,238669778,241617271,229849878,236918412,233400641,234059557,239994235,228116608,236130945,235873156,243345569,248202005,234115276,236047073,231515223,227982424,242792207,224638161,248202005
16384,32,4294770381,31,1,215907839,217865054,215108456,212444182,209710919,219242070,216904061,222852276,214286896,225323268,207475951,204677127,216448540,217230121,211213664,222600925,198791375,214368790,207175524,190850963,205976085,211912395,207441453,199443849,205395666,214736390,209008853,197943762,213708591,220233099,208991846,225713444,225713444
16384,32,4294827956,31,1,209561181,225199603,222058270,217743102,216051073,202096080,221475264,215939020,207655915,229749474,225138864,223734152,210002035,206161530,216177340,225045824,221105165,203855252,207084165,219015172,238111018,232175951,227597080,223206324,216248643,230402112,227682840,220150840,273588480,268749645,282267137,283533985,283533985
16384,32,4294896304,31,1,261717780,258495970,256017714,253197314,259021725,254814996,251805222,262314803,261986016,259484638,256920720,254095471,263622399,262330171,260608486,256533701,258174477,256038129,252460446,251576660,260213287,256146459,252544084,248663667,255468742,247957289,266528028,243283926,258164197,261594977,248213520,252451206,266528028
16384,32,4294934012,31,1,238291617,240711126,249828346,245361317,240282907,246428943,241209290,243668060,238429161,230819720,229172378,244625879,225093590,239307564,238035912,241764446,239087530,231392664,235850617,237461889,234687735,231960759,227899547,241545628,236399058,244393704,248790793,232804637,226648734,221942011,236841756,240840676,249828346
16384,32,4294955637,31,1,216939250,219672862,214240825,226773567,224172070,221501627,217942511,195374366,210966498,227720371,224560945,222226357,219436930,226266807,219112411,218942606,214491225,213687279,207531929,212364870,219819564,202460254,192982198,211758430,227865520,222964076,211031596,207585437,224640183,219068770,213223173,207783202,227865520
32768,32,4294452664,31,1,229568017,235690095,232213237,232055881,230097145,222595260,218388880,210383415,225542726,220914462,220117390,213981253,217809767,224529046,235465278,231674942,228845960,215821696,225602478,217222724,224009292,234255437,230339707,227508520,230166263,226064498,214460585,207081783,231989104,227067504,237975391,222263902,237975391
32768,32,4294648918,31,1,201494365,203965867,198632485,212780364,198541323,215603020,210183950,187328736,194026969,194351241,185632387,189462943,219209623,201672602,217501255,219761434,196694107,211844570,206513045,217273646,208274210,212283249,225461790,243496185,250862343,238228120,249322994,229314880,238557444,238903190,244422262,241351548,250862343
32768,32,4294713582,31,1,205712289,203100938,200396178,209667728,207526216,204160308,210899824,210890488,206719195,196264067,202545477,197056193,191050352,184384096,202120348,198940023,203474421,205996167,209909838,216700552,214848863,211216520,226689382,226114080,243713022,241004303,242622692,233771588,232904042,238160970,251295209,254696080,254696080
