n,k,i,p,m,r,t,T
33554432,4,33554432,4294967229,285,20,316585539,663934554
33554432,4,33554432,4294967252,360,25,395788462,742117654
33554432,4,33554432,4294967254,330,23,370635242,718922955
33554432,4,33554432,4294967258,240,17,127457621,475995751
33554432,4,33554432,4294967279,330,23,528822063,874759901
33554432,4,33554432,4294967292,285,20,352409260,701371542
67108864,4,67108864,4294967198,270,19,858805607,1553412275
67108864,4,67108864,4294967206,225,16,314996332,1007306602
67108864,4,67108864,4294967213,180,13,444185280,1136355843
67108864,4,67108864,4294967250,285,20,729007576,1420836609
67108864,4,67108864,4294967251,225,16,572477771,1265033301
67108864,4,67108864,4294967272,210,15,331458436,1024495875
67108864,4,67108864,4294967272,345,24,595795175,1286813867
67108864,4,67108864,4294967273,315,22,755614398,1445346455
67108864,4,67108864,4294967279,300,21,723057788,1414221946
67108864,4,67108864,4294967283,300,21,675553958,1366384594
134217728,4,134217728,4294967202,285,20,1385149276,2763014793
134217728,4,134217728,4294967240,315,22,739347824,2123929127
134217728,4,134217728,4294967245,315,22,1041442543,2424384258
134217728,4,134217728,4294967263,330,23,987087274,2368544750
134217728,4,134217728,4294967263,375,26,1597501555,2987629665
134217728,4,134217728,4294967275,285,20,649568871,2030970283
134217728,4,134217728,4294967276,330,23,895145415,2278757340
134217728,4,134217728,4294967281,255,18,1614903207,2995675508
134217728,4,134217728,4294967283,255,18,768002000,2147641216
134217728,4,134217728,4294967289,255,18,1522069766,2910324700
268435456,4,268435456,4294967251,285,20,1225760050,4006015891
268435456,4,268435456,4294967262,360,25,2821108163,5580700769
268435456,4,268435456,4294967272,255,18,1264906666,4042322176
268435456,4,268435456,4294967283,285,20,1173510748,3937693981
268435456,4,268435456,4294967283,285,20,1424336878,4177830940
268435456,4,268435456,4294967285,390,27,1664448266,4431373911
268435456,4,268435456,4294967289,330,23,2424564721,5196702478
268435456,4,268435456,4294967294,360,25,2604278485,5375611419
268435456,4,268435456,4294967295,165,12,1433189983,4206935080
268435456,4,268435456,4294967295,300,21,2583008657,5356662736
