n,k,i,p,m,r,t0,t1,t2,t3,t
134217728,4,4,4294967235,324,28,14176687405,14182909210,14194648458,14188866841,14194648458
134217728,4,4,4294967238,312,27,14222765388,14214941329,14208168690,14203307696,14222765388
134217728,4,4,4294967263,324,28,14277031880,14289639845,14283366365,14292552386,14292552386
134217728,4,4,4294967275,336,29,14229793585,14238912171,14224893235,14222091139,14238912171
134217728,4,4,4294967279,348,30,14219893075,14209322168,14216596565,14205242926,14219893075
134217728,4,4,4294967281,336,29,14218483834,14224742922,14208396531,14200419109,14224742922
134217728,4,4,4294967284,312,27,14348329669,14344040692,14333255683,14340575063,14348329669
134217728,4,4,4294967287,300,26,14230392333,14212147246,14237484283,14221098074,14237484283
134217728,4,4,4294967290,336,29,14231292125,14236719949,14220545644,14225617121,14236719949
134217728,4,4,4294967291,336,29,14218876390,14227377005,14262085994,14272781437,14272781437
268435456,4,4,4294967232,348,30,29315571737,29332346903,29325269838,29307881122,29332346903
268435456,4,4,4294967277,360,31,29267187668,29271794662,29255757846,29260447754,29271794662
268435456,4,4,4294967286,336,29,29379723505,29375558430,29368751918,29364019802,29379723505
268435456,4,4,4294967287,348,30,29201440808,29187440490,29199170191,29199472418,29201440808
268435456,4,4,4294967290,336,29,29293222458,29285140964,29276648932,29270930843,29293222458
268435456,4,4,4294967292,336,29,29269983766,29273029759,29279142007,29262724438,29279142007
268435456,4,4,4294967293,336,29,29344207177,29337941691,29350092865,29336382962,29350092865
268435456,4,4,4294967295,336,29,29249094320,29244638131,29264192791,29256587236,29264192791
268435456,4,4,4294967295,348,30,29233760338,29237726649,29226524830,29223916483,29237726649
