n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
1048576,32,32,10593,3720,31,308618871,306161098,303471115,311836007,276570257,312640710,309328997,306918992,304053813,311183715,308019483,305617561,302831184,302354056,298046606,293507754,306057615,302726158,303006459,304096840,287817945,298694133,310217249,295890664,313573451,320987083,304093651,295528095,323038424,320199738,308859259,313424965,323038424
1048576,32,32,11125,2728,23,309682710,314371373,317649982,312012190,318395443,314999511,312630358,309545233,284084370,303271714,303813531,297496979,290925144,316736247,311294133,308621706,313671346,314348193,308287387,302585088,300758468,297586219,289037242,311092003,298214496,304957708,319951551,311809428,303248602,310796877,323528085,318007896,323528085
1048576,32,32,6056,8432,69,318913337,322205041,316649840,313984149,292760554,299363919,285129736,314097933,322995674,317533854,319886304,298650047,311965999,291577347,303470227,321852855,319056191,316549303,316596109,307316262,313672639,311605377,310468189,312206627,306623856,314506499,310520092,330112828,323404606,323058761,306835705,319570980,330112828
1048576,32,32,900,2728,23,301079185,295537913,294707282,298361138,287992189,301387353,298161896,295697463,292891349,290421578,299446709,287187389,293846056,280554547,308612251,304435920,304372474,300435950,288784463,285141589,294066972,290024611,286859446,299541465,299885747,288023759,299962296,305449011,294083352,289649730,296035358,284904155,308612251
2097152,32,32,185,5332,44,319909260,315248707,323041795,319417303,324331684,320969917,318777915,315845950,321414563,317627768,313144173,314604290,302769989,310570304,309460256,310772865,312260733,316668465,306645302,309626772,314104348,305352528,320491894,310729676,315669636,309595571,328652282,308458172,333643256,320101211,329838854,323986586,333643256
2097152,32,32,2693,5208,43,329530277,321657295,317670392,329177530,312828317,332833251,325613214,326330681,336031722,331277153,330583371,321441602,326059587,318584094,314878692,326688024,328067479,323239253,325344584,330705965,318646163,322704597,327808016,316515999,326923186,331408927,320227632,315370608,338919749,343560640,332682203,328186200,343560640
2097152,32,32,2793,5208,43,351242823,343036943,348532280,345897817,352294088,349225319,332529899,346810008,343926194,336365454,329120054,341254410,341430268,351410840,348257024,345796167,342854918,329409617,341136070,347552989,344791722,335140172,339089697,326349172,343177641,350493287,335821720,326697093,357401440,351253927,344845653,335031810,357401440
2097152,32,32,828,5456,45,306467492,304145181,301320841,309730057,309063361,298982828,306122281,278838113,303740946,300620680,301081671,297189270,294911550,308273067,299997219,311461428,309217058,297114146,306280624,293133334,314922954,305164408,288573358,296460371,294156572,298506925,306886469,311582763,309000259,303695993,315454409,298365283,315454409
4194304,32,32,1090,9052,74,345705608,342324446,339002702,336455666,349649637,345405679,345485038,341355382,333575875,342964069,338015145,346368565,341498544,335265556,342416744,338562406,331559887,341223124,336593695,334943523,329308832,350230475,345198440,338090905,342528559,349108405,337868744,333969778,352540922,347769679,338349910,341759091,352540922
4194304,32,32,223,3224,27,336392981,329815053,333621702,339621765,330560003,335138212,329536445,340478379,337149763,335205390,332227235,341570332,337316568,337315837,333329790,338650031,338275820,330963266,326181565,334865385,333375856,328704699,324897682,331996343,320363290,325488737,339433984,328158405,334587694,324934786,342117579,335742851,342117579
