n,k,i,p,m,r,t0,t1,t
67108864,2,2,113,112,29,14241652694,14236320069,14241652694
67108864,2,2,15,104,27,14238873819,14246222457,14246222457
67108864,2,2,172,112,29,14245747453,14248995762,14248995762
67108864,2,2,24,112,29,28459907739,28503719803,28503719803
67108864,2,2,33,100,26,28272721644,28299750970,28299750970
67108864,2,2,34,108,28,28339987873,28355901703,28355901703
67108864,2,2,37,104,27,28286707267,28311492993,28311492993
67108864,2,2,37,112,29,28328065643,28321234265,28328065643
67108864,2,2,64,112,29,27627838372,27616239991,27627838372
134217728,2,2,14,120,31,29415211671,29410164002,29415211671
134217728,2,2,18,116,30,48695870111,48687670884,48695870111
134217728,2,2,19,108,28,29283960259,29279555402,29283960259
134217728,2,2,24,112,29,50814429760,50819366455,50819366455
134217728,2,2,28,116,30,29329686278,29327079125,29329686278
134217728,2,2,3,112,29,58453651691,58479918949,58479918949
134217728,2,2,37,116,30,58672106407,58648536146,58672106407
134217728,2,2,40,120,31,34984640446,35009655243,35009655243
134217728,2,2,4,104,27,58612504251,58596882623,58612504251
134217728,2,2,4,112,29,53727471841,53727649103,53727649103
134217728,2,2,71,112,29,29329367015,29333607409,29333607409
134217728,2,2,9,116,30,57880479247,57856802452,57880479247
268435456,2,2,1,120,31,60619015890,60626459741,60626459741
268435456,2,2,16,120,31,60514522479,60512378587,60514522479
268435456,2,2,2,112,29,119655945702,119632178141,119655945702
268435456,2,2,3,116,30,60751333561,60750952112,60751333561
268435456,2,2,3,120,31,60623050221,60614828738,60623050221
268435456,2,2,38,112,29,60754427293,60747555977,60754427293
268435456,2,2,4,120,31,121552527222,121580232495,121580232495
268435456,2,2,45,116,30,60653000756,60645165896,60653000756
268435456,2,2,48,116,30,119520444911,119511714802,119520444911
268435456,2,2,5,116,30,60688097002,60680327664,60688097002
268435456,2,2,5,124,32,120568000198,120544528087,120568000198
