n,k,i,p,m,r,t0,t1,t2,t3,t
1048576,4,4,3429,252,22,292304382,284799888,276423899,268289987,292304382
1048576,4,4,4426,276,24,252515887,264260738,248247016,260895971,264260738
1048576,4,4,5097,276,24,259088451,263491870,247483005,252483042,263491870
1048576,4,4,5401,264,23,268250000,262994096,281830695,275284210,281830695
1048576,4,4,5759,312,27,258808542,249585251,272481355,263980130,272481355
1048576,4,4,5932,216,19,277332029,284315347,272339826,267270616,284315347
2097152,4,4,1130,276,24,358198562,350003401,353285149,342794667,358198562
2097152,4,4,1583,264,23,369411674,364704479,353459634,359204650,369411674
2097152,4,4,1849,300,26,358513959,342736162,338777635,350885910,358513959
2097152,4,4,2041,264,23,341019272,358118956,352616950,350511595,358118956
2097152,4,4,2097,264,23,374233389,364930881,362362861,354784821,374233389
2097152,4,4,2665,288,25,378703401,364383368,355685383,373737249,378703401
2097152,4,4,3662,300,26,359781028,353827190,348806798,343101173,359781028
2097152,4,4,372,324,28,346909002,351245244,339536767,335204949,351245244
2097152,4,4,573,300,26,338304426,358101133,349983523,346491643,358101133
2097152,4,4,595,288,25,360363646,368737522,351716539,343519864,368737522
2097152,4,4,976,300,26,339239503,350163137,339284629,354786653,354786653
4194304,4,4,1058,276,24,545685513,557111809,554864310,543364950,557111809
4194304,4,4,189,300,26,538911344,522378347,528429126,535581344,538911344
4194304,4,4,232,252,22,543310082,539557626,551755466,533527844,551755466
4194304,4,4,2670,288,25,526050140,529296016,517772515,514359268,529296016
4194304,4,4,416,288,25,548860033,533789603,539744888,524654357,548860033
4194304,4,4,521,312,27,528024972,539896411,533459501,526273857,539896411
4194304,4,4,580,240,21,538641381,557681345,551330339,542837024,557681345
4194304,4,4,595,264,23,550669632,567340757,559995570,558699914,567340757
4194304,4,4,641,240,21,539757747,535529080,528345732,526850216,539757747
4194304,4,4,667,300,26,537197307,543214799,547594227,530482812,547594227
4194304,4,4,809,324,28,532003185,529557813,522255230,538779830,538779830
8388608,4,4,1760,312,27,944207838,937372442,931399196,921566858,944207838
8388608,4,4,1969,288,25,910446165,931017003,918974219,925285061,931017003
8388608,4,4,2626,252,22,942865806,932436185,927613348,940903527,942865806
8388608,4,4,48,360,31,947916675,931095012,924005852,942264503,947916675
8388608,4,4,5,312,27,927221512,930971048,919359341,936141033,936141033
