n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
32768,16,16,2130314825,1320,23,270628371,275300621,263404409,267735107,264195745,275660959,271456299,267983389,267282032,274833418,279020830,263299838,283113597,276160376,289676238,271639474,289676238
32768,16,16,2143998263,660,12,275108742,268437914,260895692,269646655,280533848,274064679,265612136,269067142,289791270,270708012,282605335,276723107,276499776,289746598,273884104,283520697,289791270
32768,16,16,2155061135,1080,19,247130181,258379114,252925878,266563792,255445225,262112041,262350840,256272061,268840176,266860439,263535401,267398550,252261185,256670441,281596252,261808720,281596252
32768,16,16,2155586806,1140,20,262947545,259740281,256251111,248786260,234810995,256524331,243073785,253455370,268300796,263136482,257542044,254259773,267957614,264894411,256768758,251786785,268300796
65536,16,16,2146626632,2400,41,267561332,279577026,274935119,271765938,277972669,282420168,275504933,271540472,282690719,278370999,271256093,268392017,280546030,275751765,290831989,288068644,290831989
65536,16,16,2147631190,960,17,304730149,303317699,300338177,298510166,310038965,312606354,297133673,306211786,310591588,309901503,323049737,302063775,310885161,304704026,320917564,297412133,323049737
65536,16,16,2149159049,2700,46,259827323,263980497,253045761,256604778,258168444,262782149,255057346,251242643,264440771,258830005,273891751,254039402,254600108,270870307,265755310,262160087,273891751
65536,16,16,2156117878,1200,21,262030393,270588554,266149255,259305318,263949274,252882759,261710796,275137573,272598054,270183660,258532317,263968494,262575008,279720516,255622160,272025391,279720516
131072,16,16,2142978020,1500,26,282862768,270215233,274308082,277655146,277994356,264243236,257868179,271654888,269186272,285041277,260813441,279090601,292214936,275146462,280803640,288026789,292214936
131072,16,16,2144953603,1320,23,294293278,298056394,298103249,293597288,304799893,291431043,301581615,290020019,310218542,318601285,307071372,299301653,311418243,302969412,318397877,309248197,318601285
131072,16,16,2147656493,1920,33,274887573,282328159,278928878,271688129,275033305,279162902,271145615,282865594,288348757,282920323,276207692,270283663,285997673,275679007,283787403,272399907,288348757
131072,16,16,2150043590,1140,20,266491552,278294712,282776036,273762364,271265271,278476424,280003572,271981504,283894000,280674787,288414009,272689763,284285021,270663174,285525717,279816836,288414009
262144,16,16,2147933925,1080,19,265369094,271881057,277023435,269893855,276915432,272427351,264609995,268757949,289306296,282447158,276671519,270657727,278174408,285805681,288929264,274883161,289306296
262144,16,16,2149053969,1740,30,271145399,269970319,277142404,264805735,277461649,270825725,281558825,280650309,263361421,268259848,279673252,275367089,286882683,272626159,284176223,278158325,286882683
262144,16,16,2150713939,1740,30,298612574,291139014,303704738,297136328,296408094,304871260,301791625,308687356,300334809,312483143,317902906,307748783,331786049,324354467,317697004,312497659,331786049
262144,16,16,2152866590,1320,23,271179588,267831924,266841182,277048233,264338433,275202691,279984110,274041718,268641151,274232625,286357369,280640565,279651125,272307618,281772132,267560677,286357369
524288,16,16,2146808175,1320,23,307855949,320205283,313080816,315969310,313603662,321729484,317093434,312445833,332049524,326896358,323750594,321060717,318305042,325503350,334457181,314424622,334457181
524288,16,16,2146818664,960,17,284664171,291110091,288195735,280628158,298282428,292311687,288439315,284073904,292499082,270711661,279589701,290204970,298518928,290346615,275572264,281931684,298518928
524288,16,16,2147707115,1800,31,261916921,267215054,280835578,275348422,278986016,289449260,282910726,274965553,289510767,282204651,293862285,299639428,280162731,291505869,276333024,288147774,299639428
