n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
1048576,8,8,4294966046,588,22,281125895,272839355,260228717,267397547,270914066,287886373,283869968,278201755,287886373
1048576,8,8,4294966620,700,26,313303644,297788993,302417649,310524860,290983057,299013013,310689959,303138889,313303644
1048576,8,8,4294967022,560,21,303870804,297334773,292589523,304062255,308734924,306891412,292516274,298112720,308734924
2097152,8,8,4294963818,672,25,346903001,351411167,339768686,335485238,337574153,354840388,346678472,350137402,354840388
2097152,8,8,4294963937,644,24,332894249,316211217,341145298,327280468,331845194,337372642,326350948,322757910,341145298
2097152,8,8,4294964046,560,21,352382784,354579974,339957015,349266833,331289096,346188875,339060368,330103797,354579974
2097152,8,8,4294964978,784,29,308852770,327382628,321365935,306854534,332626263,317854715,321245487,328947350,332626263
2097152,8,8,4294965587,700,26,321922506,331469754,316970181,328877363,334772742,338462779,327582899,323332096,338462779
2097152,8,8,4294966313,756,28,352501157,355726291,362791772,347992094,344123051,349737954,345580981,344438445,362791772
2097152,8,8,4294966382,560,21,333765690,323350766,334174840,317239529,322341992,334736539,323357545,327543245,334736539
2097152,8,8,4294966585,700,26,324973737,334033061,346548139,338290316,331897301,322043172,314210869,329559300,346548139
2097152,8,8,4294967022,644,24,351776543,340237560,334417890,348888695,342013794,343070595,331607038,335746029,351776543
2097152,8,8,4294967174,588,22,335686916,348147376,342786648,331328218,337354788,348186650,344352200,332535169,348186650
4194304,8,8,4294963171,700,26,432066551,427513024,420485640,423339161,416185842,428233002,420462487,418520979,432066551
4194304,8,8,4294964008,644,24,423676775,419188843,411745607,410293961,429759647,419708077,433653829,426021525,433653829
4194304,8,8,4294965699,728,27,428511482,434675800,424951539,440955213,429978623,415587213,426202525,419714649,440955213
4194304,8,8,4294966135,700,26,421733246,422357829,415490744,410484997,402389881,421756566,410665290,415982527,422357829
4194304,8,8,4294966411,532,20,434868014,427504231,421762429,412786195,429345361,436096324,412799242,422615363,436096324
4194304,8,8,4294966973,728,27,433930566,442078451,435079220,419483749,429236121,426994365,432609932,421723076,442078451
4194304,8,8,4294967053,588,22,430332482,434057646,422119778,418638840,427000892,425843576,418829552,431130287,434057646
4194304,8,8,4294967060,644,24,441180771,451848867,438661208,450166151,433732739,438322206,443554744,450182275,451848867
4194304,8,8,4294967086,616,23,423045885,416457034,431389550,420691902,424864555,415393845,422985689,411601260,431389550
4194304,8,8,4294967099,560,21,435081258,430518053,423891552,418070781,434841001,423129281,434871845,428161238,435081258
8388608,8,8,4294966482,616,23,628859026,617643541,624895131,612740733,626054023,623127909,611364262,615993077,628859026
8388608,8,8,4294966747,588,22,607656319,612928398,601181598,596699793,615191445,608736317,603873526,623759783,623759783
8388608,8,8,4294966747,644,24,609469898,603141501,587725344,612599601,594870505,609722586,600590274,605069790,612599601
8388608,8,8,4294966961,644,24,621340808,606310153,622319075,610471517,616104416,611530327,623320102,616368756,623320102
8388608,8,8,4294967014,700,26,606999809,593077130,606467356,599713641,612450083,604606669,597677801,600751014,612450083
8388608,8,8,4294967052,700,26,610581437,587257395,596972211,606903519,608893227,609964964,598944112,602573214,610581437
8388608,8,8,4294967121,700,26,617988205,618940071,630159647,614891548,626647845,610246368,616526718,605696674,630159647
8388608,8,8,4294967164,616,23,622606240,608043443,598988168,630491098,617792354,618711489,631702273,624873755,631702273
8388608,8,8,4294967169,644,24,607531411,619066016,615708866,603441538,612561996,610653905,601969389,605175946,619066016
8388608,8,8,4294967227,616,23,600218034,597833543,589569129,583538439,600370574,587200999,596320546,589484512,600370574
16777216,8,8,4294966778,700,26,1016285912,1005073497,1012016349,995251009,1003546358,1008354518,1015765114,1011501855,1016285912
16777216,8,8,4294966887,784,29,1000317414,1003760768,997835235,992693737,986735573,994040434,989277449,1000640856,1003760768
16777216,8,8,4294967028,756,28,1009584421,1009931704,998748875,1018987481,1003267446,1016125531,1008616944,1004505226,1018987481
16777216,8,8,4294967110,728,27,1012646468,998792839,1005150849,993652344,1003546540,987805901,999830000,995066261,1012646468
16777216,8,8,4294967119,560,21,1006662483,1019586261,1012197391,1003068749,1006084220,1010451214,1004075304,1016234879,1019586261
16777216,8,8,4294967155,700,26,987048668,998864358,994092196,980392288,997604541,986138026,998229811,990171266,998864358
16777216,8,8,4294967170,700,26,1005557821,999707431,993161521,988030444,1005105428,1012269083,997322256,1001566006,1012269083
16777216,8,8,4294967231,700,26,984253165,998432143,1000046200,994140621,982552133,997434620,988336025,991021808,1000046200
16777216,8,8,4294967234,616,23,1023275926,1027912379,1041619744,1036466701,1031770862,1026768318,1020779212,1015414502,1041619744
16777216,8,8,4294967295,756,28,987135949,993879407,1002862016,987965689,982001732,978358701,990567205,982105237,1002862016
33554432,8,8,4294967016,784,29,1823521771,1816373662,1827249897,1823285940,1811347303,1811403862,1822998434,1816029268,1827249897
33554432,8,8,4294967032,756,28,1803158168,1810779803,1821077000,1814780388,1822482207,1821183524,1813508327,1810753303,1822482207
33554432,8,8,4294967154,700,26,1829729749,1835985543,1813805273,1821518976,1830358789,1815494154,1828093920,1823361367,1835985543
