n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
262144,8,8,2144964351,532,20,266599563,255479521,275458515,279906589,275190312,264096036,266439441,271056885,279906589
262144,8,8,2147135587,476,18,271198469,279324048,286014886,270608675,289444888,287103589,275818015,280537688,289444888
262144,8,8,2148034356,588,22,278760538,269654255,264700412,276450004,274394803,262789523,274390329,266528447,278760538
262144,8,8,2148278163,672,25,265261463,267306423,256563329,250820275,270809447,266403280,255142854,259795432,270809447
262144,8,8,2149586632,476,18,256260875,270356744,263814553,251493272,270593861,247995920,254663142,262817077,270593861
262144,8,8,2152126864,644,24,276153795,273521269,263584502,268690775,277062863,270039966,264464239,282169393,282169393
524288,8,8,2144950964,840,31,266762893,271558578,279350866,282971584,266661956,290878275,281662352,274407268,290878275
524288,8,8,2147411954,588,22,265856575,257467756,253969450,245882785,265699074,267271529,260713118,254348597,267271529
524288,8,8,2147413945,588,22,270022638,267605799,274766941,263458816,259642432,269697814,258649425,263538282,274766941
524288,8,8,2147637118,756,28,263198728,259075455,251367119,247797855,270376316,255183056,266076139,261113449,270376316
524288,8,8,2148937509,448,17,308238915,303490008,302973815,292289042,298222558,303708442,296353260,299108576,308238915
524288,8,8,2149187854,532,20,286578437,280016959,291745329,273838543,285454705,279498858,275640292,285734102,291745329
524288,8,8,2149459670,560,21,286107349,285686274,304287492,275217113,291286484,280189366,299582844,288257960,304287492
524288,8,8,2149745940,588,22,267192035,274233333,276976037,260514964,265397433,265451610,274747186,269444063,276976037
524288,8,8,2152338817,644,24,270787111,254526182,265371127,275193934,247135109,266087918,273194122,262311459,275193934
524288,8,8,2153458065,560,21,270420751,271901451,276861319,265232746,259534616,267060574,259005866,263427318,276861319
1048576,8,8,2144911694,728,27,314025127,304457921,295543266,291239346,311602250,305894894,291115232,297636510,314025127
1048576,8,8,2145167632,672,25,293238264,279626591,270290962,289425240,291376446,281696980,295490656,286462116,295490656
1048576,8,8,2145507733,672,25,312600863,308961294,306841735,302738474,304632057,307959005,315267373,299975333,315267373
1048576,8,8,2146124040,644,24,303597015,287563773,299257934,283920969,296379058,302971484,294459853,297768533,303597015
1048576,8,8,2146451855,588,22,302261799,311192128,297897605,305684948,298566095,315818987,311429336,304847191,315818987
1048576,8,8,2146543499,700,26,316041559,310077890,322985913,298813421,329536165,326536183,319969598,318978315,329536165
1048576,8,8,2148059130,644,24,279637940,273597116,268788414,286429346,290828008,283464895,289127804,279385077,290828008
1048576,8,8,2148348839,532,20,289193324,275135406,278821383,271941491,285598385,291702761,282333307,291557675,291702761
1048576,8,8,2148574320,504,19,293592936,286558486,301990693,298339393,290366025,286891074,285577641,298895710,301990693
1048576,8,8,2150052913,616,23,296749208,309092722,303293434,291915716,307981495,311717548,297119542,301447244,311717548
2097152,8,8,2145621013,924,34,336722981,331743986,335756265,324558796,318912323,330241239,334874488,324103940,336722981
2097152,8,8,2145849592,588,22,328108011,308141066,329714531,320923248,318050618,316792009,330650302,323191396,330650302
2097152,8,8,2145928349,896,33,321420349,325595323,322544117,337725663,332412787,326786140,316425987,312218367,337725663
2097152,8,8,2146373722,588,22,342111871,342676655,330515500,335766845,329148450,335810797,341517057,330161610,342676655
2097152,8,8,2146612436,448,17,352361197,343948861,338519389,320121880,328589779,338206647,350094844,342755614,352361197
2097152,8,8,2147574565,560,21,339400641,329171721,324263345,318596362,335954849,326504137,338299711,335050383,339400641
2097152,8,8,2147745193,532,20,354974037,347032199,343150128,356842483,365259473,344234320,355550918,349998848,365259473
2097152,8,8,2148337131,728,27,317998572,326255018,309871348,312341602,308939176,324071687,319208109,313927440,326255018
2097152,8,8,2148703638,532,20,328329053,333514239,319518987,331032815,322983372,315688650,332592361,320295060,333514239
2097152,8,8,2148724502,448,17,344006719,339692433,328476128,334334927,339479399,336239558,324945874,331615353,344006719
4194304,8,8,2146368407,896,33,417186720,415673555,409449740,405136221,423472634,420688626,410220026,415957138,423472634
4194304,8,8,2147179386,952,35,432534237,425243295,443280827,423277313,440332108,440320748,429904181,435353895,443280827
4194304,8,8,2147389367,588,22,419415832,407559525,428685527,415437990,425424522,430099204,417516206,424415541,430099204
4194304,8,8,2147531225,812,30,400008996,391266406,407264468,401887636,410135893,398869629,414802609,405504301,414802609
4194304,8,8,2147633456,700,26,415522834,423030943,410879277,427482462,434046388,440252625,426472908,431675403,440252625
4194304,8,8,2147655241,812,30,424179391,426473461,429684515,418875362,415494581,418102608,415538437,425354402,429684515
4194304,8,8,2148165470,700,26,426657696,421813062,435879381,411783507,433026079,422294406,433585213,426942460,435879381
4194304,8,8,2148425126,812,30,425851615,414526375,431221481,419488305,424308463,429076261,418082347,415187391,431221481
4194304,8,8,2148464715,644,24,407910211,415091553,427668769,421820348,416688076,403251098,415873877,409124134,427668769
8388608,8,8,2146303115,700,26,638474410,631689165,626991131,619879751,636179073,631199049,626523037,617141398,638474410
8388608,8,8,2146768575,672,25,623170115,602496046,615277680,609093430,607241626,610904379,599086069,603500723,623170115
8388608,8,8,2146926230,1092,40,614394525,622744206,605712837,600119187,624503701,623682000,613898581,617606360,624503701
8388608,8,8,2147276790,868,32,632103296,616868762,624138353,611853702,623960754,611494709,617831278,623836858,632103296
