n,k,i,p,m,r,t0,t1,t
4194304,2,2,2147031514,84,22,918079083,914623237,918079083
4194304,2,2,2147406177,88,23,1711743588,1731771795,1731771795
4194304,2,2,2147572198,84,22,1732266577,1756463361,1756463361
4194304,2,2,2147974277,76,20,1675548190,1695894718,1695894718
4194304,2,2,2148280605,92,24,1732667112,1756539278,1756539278
4194304,2,2,2148357878,84,22,1703607838,1719283379,1719283379
4194304,2,2,2149566346,84,22,910935983,913951141,913951141
4194304,2,2,2150337204,92,24,1743875449,1768443565,1768443565
8388608,2,2,2145968116,96,25,1707781255,1725042286,1725042286
8388608,2,2,2146668796,76,20,3326479102,3351715813,3351715813
8388608,2,2,2146788031,92,24,3388158582,3412589686,3412589686
8388608,2,2,2146905995,96,25,3347485634,3364258576,3364258576
8388608,2,2,2146931672,100,26,2931163154,2936954763,2936954763
8388608,2,2,2147050180,92,24,3340308017,3335960364,3340308017
8388608,2,2,2147061633,92,24,3423848546,3400648168,3423848546
8388608,2,2,2147257832,96,25,3338812318,3364066121,3364066121
8388608,2,2,2147718066,76,20,1726240524,1734450748,1734450748
8388608,2,2,2148010964,88,23,1741979202,1739309108,1741979202
8388608,2,2,2148071663,96,25,3388394253,3364974635,3388394253
8388608,2,2,2148208006,96,25,1732803581,1730951407,1732803581
16777216,2,2,2146317319,100,26,3402036131,3404617658,3404617658
16777216,2,2,2146601117,100,26,6784680224,6808784361,6808784361
16777216,2,2,2146818863,88,23,6740258953,6748712337,6748712337
16777216,2,2,2147565708,88,23,6799731419,6831463989,6831463989
16777216,2,2,2147580914,88,23,6811742315,6843375545,6843375545
16777216,2,2,2147659843,48,13,6736823578,6732034329,6736823578
16777216,2,2,2147688397,88,23,3419127571,3423605094,3423605094
16777216,2,2,2147707224,100,26,6727634049,6748166468,6748166468
16777216,2,2,2147725615,92,24,6764397011,6759012410,6764397011
16777216,2,2,2147921525,100,26,6832072864,6867930400,6867930400
16777216,2,2,2147970458,100,26,3422195199,3422078735,3422195199
16777216,2,2,2147984707,104,27,3424893303,3420464884,3424893303
33554432,2,2,2146706756,92,24,13031718104,13071570319,13071570319
33554432,2,2,2147048421,100,26,12937632501,12951651400,12951651400
33554432,2,2,2147221262,96,25,6943253083,6939002191,6943253083
33554432,2,2,2147351682,88,23,13808994179,13840016074,13840016074
33554432,2,2,2147393972,104,27,13839923777,13816299263,13839923777
33554432,2,2,2147467507,96,25,6969819584,6965873418,6969819584
33554432,2,2,2147499972,100,26,13052205343,13095766921,13095766921
33554432,2,2,2147729599,108,28,6934892409,6931657488,6934892409
33554432,2,2,2147821408,96,25,13756492559,13751702881,13756492559
33554432,2,2,2147893631,68,18,13772223181,13767159922,13772223181
33554432,2,2,2147902038,100,26,13751203456,13767489363,13767489363
33554432,2,2,2148039505,92,24,6930546723,6928285806,6930546723
67108864,2,2,2146945768,100,26,29588201220,29620039279,29620039279
67108864,2,2,2147091624,96,25,14241615781,14239644005,14241615781
